obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""228.80225""","=""228.80227""","=""1500r""","=""5.3e+08""",C,"=""0.000""","=""43692.384""","=""4d10.5s2""","=""1S""","=""0""","=""4d10.5s.5p""","=""1P*""","=""1""",,"=""T4515""","=""L3486""",
"=""249.0998""","=""249.09935""","=""3""","=""""",,"=""30656.087""","=""70788.605""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.10d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""250.89077""","=""250.89095""","=""10""","=""""",,"=""30656.087""","=""70502.04""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.11s""","=""3S""","=""1""",,"=""""","=""L3486c92""",
"=""251.8588""","=""251.858914""","=""15w""","=""""",,"=""30113.990""","=""69806.814""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.10s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""252.51964""","=""252.51964""","=""25w""","=""""",,"=""30656.087""","=""70245.060""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.9d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""254.46130""","=""254.46130""","=""50""","=""""",,"=""30113.990""","=""69400.900""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.8d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""255.34647""","=""255.346488""","=""25""","=""""",,"=""30656.087""","=""69806.814""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.10s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""256.57894""","=""256.57894""","=""3""","=""""",,"=""31826.952""","=""70789.634""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.10d""","=""3D""","=""3""",,"=""""","=""L3486""",
"=""258.01062""","=""258.01062""","=""50""","=""""",,"=""30656.087""","=""69402.583""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.8d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""258.4870""","=""258.48702""","=""3""","=""""",,"=""31826.952""","=""70502.04""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.11s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""259.20258""","=""259.202534""","=""30""","=""""",,"=""30113.990""","=""68682.325""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.9s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""260.20477""","=""260.20477""","=""25w""","=""""",,"=""31826.952""","=""70246.742""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.9d""","=""3D""","=""3""",,"=""""","=""L3486""",
"=""262.89786""","=""262.897918""","=""50""","=""""",,"=""30656.087""","=""68682.325""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.9s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""263.21901""","=""263.218953""","=""40""","=""""",,"=""31826.952""","=""69806.814""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.10s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""263.94196""","=""263.942011""","=""75""","=""""",,"=""30113.990""","=""67989.814""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.7d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""266.03253""","=""266.03253""","=""50w""","=""""",,"=""31826.952""","=""69405.160""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""3""",,"=""""","=""L3486""",
"=""267.75397""","=""267.753996""","=""100""","=""""",,"=""30656.087""","=""67992.708""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.7d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""267.77484""","=""267.774753""","=""25""","=""""",,"=""30656.087""","=""67989.814""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.7d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""271.25049""","=""271.250456""","=""75""","=""""",,"=""31826.952""","=""68682.325""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.9s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""273.38199""","=""273.381928""","=""50""","=""""",,"=""30113.990""","=""66682.029""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.8s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""276.38935""","=""276.38943""","=""100w""","=""""",,"=""31826.952""","=""67997.101""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.7d""","=""3D""","=""3""",,"=""""","=""L3486""",
"=""276.42305""","=""276.423002""","=""50w""","=""""",,"=""31826.952""","=""67992.708""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.7d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""277.49585""","=""277.495835""","=""50""","=""""",,"=""30656.087""","=""66682.029""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.8s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""283.68999""","=""283.689991""","=""200""","=""2.8e+07""",D,"=""30113.990""","=""65353.372""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.6d""","=""3D""","=""1""",,"=""T4515""","=""L3486""",
"=""286.81799""","=""286.818051""","=""100""","=""""",,"=""31826.952""","=""66682.029""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.8s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""288.07670""","=""288.076727""","=""200r""","=""4.2e+07""",D,"=""30656.087""","=""65358.881""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6d""","=""3D""","=""2""",,"=""T4515""","=""L3486""",
"=""288.12245""","=""288.122468""","=""50r""","=""2.4e+07""",D,"=""30656.087""","=""65353.372""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6d""","=""3D""","=""1""",,"=""T4515""","=""L3486""",
"=""298.06204""","=""298.06204""","=""1000r""","=""5.9e+07""",D,"=""31826.952""","=""65367.227""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.6d""","=""3D""","=""3""",,"=""T4515""","=""L3486""",
"=""298.13625""","=""298.13623""","=""200r""","=""1.5e+07""",D,"=""31826.952""","=""65358.881""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.6d""","=""3D""","=""2""",,"=""T4515""","=""L3486""",
"=""298.18538""","=""298.18522""","=""50""","=""""",,"=""31826.952""","=""65353.372""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.6d""","=""3D""","=""1""",,"=""""","=""L3486c92""",
"=""308.08224""","=""308.08220""","=""150""","=""""",,"=""30113.990""","=""62563.435""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.7s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""308.25934""","=""308.25924""","=""30""","=""""",,"=""30656.087""","=""63086.896""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.7s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""313.31666""","=""313.31663""","=""200""","=""""",,"=""30656.087""","=""62563.435""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.7s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""325.25240""","=""325.25245""","=""300""","=""""",,"=""31826.952""","=""62563.435""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.7s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""326.10548""","=""326.10546""","=""300""","=""4.06e+05""",C,"=""0.000""","=""30656.087""","=""4d10.5s2""","=""1S""","=""0""","=""4d10.5s.5p""","=""3P*""","=""1""",,"=""T4515""","=""L3486""",
"=""340.36521""","=""340.36521""","=""800""","=""7.7e+07""",C,"=""30113.990""","=""59485.768""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.5d""","=""3D""","=""1""",,"=""T4515""","=""L3486""",
"=""346.61996""","=""346.61996""","=""1000""","=""1.2e+08""",D,"=""30656.087""","=""59497.868""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""2""",,"=""T4515""","=""L3486""",
"=""346.76547""","=""346.76544""","=""800""","=""6.7e+07""",D,"=""30656.087""","=""59485.768""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""1""",,"=""T4515""","=""L3486""",
"=""349.99518""","=""349.99522""","=""25""","=""""",,"=""30656.087""","=""59219.734""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.5d""","=""1D""","=""2""",,"=""""","=""L3486""",
"=""361.05077""","=""361.0508""","=""1000""","=""1.3e+08""",D,"=""31826.952""","=""59515.990""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""3""",,"=""T4515""","=""L3486""",
"=""361.28729""","=""361.28724""","=""800""","=""3.5e+07""",D,"=""31826.952""","=""59497.868""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""2""",,"=""T4515""","=""L3486""",
"=""361.44529""","=""361.44529""","=""60""","=""""",,"=""31826.952""","=""59485.768""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""364.95584""","=""364.95568""","=""20""","=""""",,"=""31826.952""","=""59219.734""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""1D""","=""2""",,"=""""","=""L3486""",
"=""398.19257""","=""398.19257""","=""10""","=""""",,"=""43692.384""","=""68798.760""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.9s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""414.02988""","=""414.03021""","=""""","=""4.7e+06""",D,"=""43692.384""","=""67838.401""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.7d""","=""1D""","=""2""",,"=""T4515""","=""L3486c92""",
"=""430.66718""","=""430.66718""","=""8""","=""""",,"=""43692.384""","=""66905.641""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.8s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""441.29894""","=""441.29894""","=""3""","=""""",,"=""30656.087""","=""53310.101""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""466.23520""","=""466.23520""","=""8""","=""5.5e+06""",C,"=""43692.384""","=""65134.783""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.6d""","=""1D""","=""2""",,"=""T4515""","=""L3486""",
"=""467.81493""","=""467.81500""","=""200""","=""1.3e+07""",C,"=""30113.990""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""479.99123""","=""479.99121""","=""300""","=""4.1e+07""",C,"=""30656.087""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""508.58217""","=""508.58214""","=""1000w""","=""5.6e+07""",C,"=""31826.952""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""515.46605""","=""515.46618""","=""6""","=""""",,"=""43692.384""","=""63086.896""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.7s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""609.91421""","=""609.9142""","=""300""","=""""",,"=""51483.980""","=""67875.191""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.8p""","=""3P*""","=""2""",,"=""""","=""L3486""",
"=""611.1495""","=""611.1495""","=""100""","=""""",,"=""51483.980""","=""67842.06""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.8p""","=""3P*""","=""1""",,"=""""","=""L3486""",
"=""632.51661""","=""632.51689""","=""100""","=""""",,"=""43692.384""","=""59497.868""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""633.00133""","=""633.00149""","=""30""","=""""",,"=""43692.384""","=""59485.768""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""643.84695""","=""643.84695""","=""2000""","=""5.9e+07""",C,"=""43692.384""","=""59219.734""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""1D""","=""2""",,"=""T4515""","=""L3486""",
"=""677.81157""","=""677.8116""","=""30""","=""""",,"=""53310.101""","=""68059.393""","=""4d10.5s.6s""","=""1S""","=""0""","=""4d10.5s.8p""","=""1P*""","=""1""",,"=""""","=""L3486""",
"=""734.56704""","=""734.5665""","=""1000""","=""""",,"=""51483.980""","=""65093.702""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.7p""","=""3P*""","=""2""",,"=""""","=""L3486""",
"=""820.03089""","=""820.0309""","=""5""","=""""",,"=""53310.101""","=""65501.412""","=""4d10.5s.6s""","=""1S""","=""0""","=""4d10.5s.7p""","=""1P*""","=""1""",,"=""""","=""L3486""",
"=""929.2""","=""928.52""","=""20*""","=""""",,"=""58635.7""","=""69402.583""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""2""",,"=""""","=""L7381""",
"=""929.2""","=""928.30""","=""20*""","=""""",,"=""58635.7""","=""69405.160""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""3""",,"=""""","=""L7381""",
"=""929.2""","=""928.66""","=""20*""","=""""",,"=""58635.7""","=""69400.900""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""1""",,"=""""","=""L7381""",
"=""1165.5""","=""1165.5""","=""17""","=""""",,"=""59515.990""","=""68093.7""","=""4d10.5s.5d""","=""3D""","=""3""","=""4d10.5s.5f""","=""3F*""","=""2,3,4""",,"=""""","=""L7381""",
"=""1449.1""","=""1449.5""","=""35""","=""""",,"=""58461.6""","=""65358.881""","=""4d10.5s.6p""","=""3P*""","=""1""","=""4d10.5s.6d""","=""3D""","=""2""",,"=""""","=""L7381""",
"=""1571.2""","=""1570.35""","=""80""","=""""",,"=""59219.734""","=""65586.0""","=""4d10.5s.5d""","=""1D""","=""2""","=""4d10.5s.4f""","=""3F*""","=""2,3,4""",,"=""""","=""L7381""",
"=""1912.5""","=""1912.44""","=""55""","=""""",,"=""59907.28""","=""65134.783""","=""4d10.5s.6p""","=""1P*""","=""1""","=""4d10.5s.6d""","=""1D""","=""2""",,"=""""","=""L7381""",
obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2438.5""","=""2437.9""","=""25""","=""""",,"=""58461.6""","=""62563.435""","=""4d10.5s.6p""","=""3P*""","=""1""","=""4d10.5s.7s""","=""3S""","=""1""",,"=""""","=""L7381""",
"=""2546.2""","=""2546.0""","=""35""","=""""",,"=""58635.7""","=""62563.435""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.7s""","=""3S""","=""1""",,"=""""","=""L7381""",